id,male,female
2446,44,283
10,62,814
919,284,513
12287,25,26
3102,70,74
109386,91,89
1891017,19,8
10342,3996,2130
2846,9,167
142098,64,346
5429,131,1291
727,81,549
728,238,1268
1371,6,2
4816,116,53
6956,67,166
36314,7,15
3247,519,2775
6954,360,1611
957691,0,1
790,38,234
2427,294,73
27471,12,6
8565,3,13
1005,23,5
54382,0,3
39508,17,93
52004,9,8
42415,17,23
42044,37,41
33066,33,80
36941,3,8
34902,9,38
53915,6,55
39093,6,12
54221,5,10
30251,55,103
30237,1,2
52158,0,9
38562,10,33
37228,55,44
13958,23,45
1074,143,110
1929,213,135
996,728,652
125924,87,91
1464,70,39
1754,538,674
6979,840,301
1943126,1639,433
1470,581,236
2036,149,79
1795,47,12
6682,51,5
13303,107,548
2239,174,123
2420,211,87
12561,147,988
631,184,346
16,403,980
8099,50,54
30167,96,313
25789,37,508
3304,1681,382
719,368,1789
2576,170,168
29333,11,8
10418,177,31
6360,99,96
17566,49,97
4640,213,262
9842,183,838
5789,1149,5349
14020,50,15
1559490,337,1398
35739,8,18
1221,65,34
2839,44,78
3610,446,238
1943068,361,99
22,75,271
5998,88,280
636,54,168
22825,73,149
591,143,517
3220,62,295
3209,1922,3271
1093,150,111
1780,144,528
6009,51,117
3289,213,812
550,126,751
2455,780,176
1059,190,254
36807,1,13
1206205,2,13
569,206,1543
1839,19,35
35691,7,32
25361,4,2
26187,21,37
1764,87,65
26191,96,33
6309,6,3
25355,123,20
1219,145,302
85802,22,43
29369,2,0
26520,55,66
6377,70,135
685,81,165
3390,113,23
2743,147,54
1891680,1,5
60148,2,0
17444,40,27
12026,122,166
11903,327,341
26216,735,1097
37385,59,24
1925971,1,0
1923716,7,9
1210388,24,30
1358,761,816
955,117,81
34623,28,94
12249,7,19
16484,3,12
30458,7,39
35473,2,7
17072,8,1
630,70,168
23132,23,56
18066,9,27
1905042,7,22
1247,35,159
1919883,9,3
1579,810,593
1211259,18,32
590396,288,838
3450596,166,363
3453657,13,61
4793,1025,4444
1936170,191,515
63525,184,882
3214,246,197
1261,70,167
1879,8,15
22847,88,156
40430,217,422
11494,93,224
1435,104,194
16788,20,4
54020,2,9
1205980,2,7
65020,1,3
1201656,54,159
31123,19,63
2919,16,26
35417,21,109
2392,26,73
782,209,441
23103,243,1262
6616,46,214
1713,175,847
6003,133,261
