id,male,female
1251,6,1
316,659,283
164,262,105
863,50,21
15,213,120
355,202,117
645,73,269
1259,7,80
275,36,350
1264,5,18
910,48,52
1266,8,9
1265,2,2
264,61,149
244,465,207
590,54,213
1155,51,119
875,70,113
554,23,219
292,3,4
744,49,8
775,118,32
852,34,4
753,71,766
648,95,170
1177,49,101
74,105,54
848,68,23
1193,42,28
871,26,46
1291,19,44
1004,36,59
345,17,672
1231,18,17
204,122,88
447,63,165
1279,83,10
998,18,107
938,94,100
152,3,6
139,136,24
1258,8,3
259,13,195
444,26,104
388,2,46
650,65,207
802,37,25
1181,21,237
789,74,63
467,5,1
415,63,56
613,32,142
1318,3,20
507,34,68
710,34,45
1056,0,6
189,70,140
548,20,103
14,11,44
599,180,19
327,91,125
1241,30,48
966,3,2
453,19,49
931,0,35
1326,9,12
874,3,64
1307,2,10
1285,1,12
438,38,132
496,20,50
1331,35,13
392,16,23
800,15,24
708,23,19
841,28,57
480,12,153
1249,7,0
698,30,58
369,60,33
937,5,12
515,8,35
377,3,54
252,13,8
1055,36,14
1271,25,48
1323,0,2
705,11,41
604,15,32
1247,6,42
231,15,5
1221,0,6
818,20,2
976,2,48
1356,15,7
654,41,67
1012,2,12
970,10,46
827,45,53
448,0,15
883,17,40
994,4,54
824,17,157
285,1,3
332,13,79
129,38,66
1369,15,10
1370,13,12
1044,9,8
1270,1,4
1268,22,37
298,28,79
304,37,50
256,25,9
965,58,34
383,70,17
300,4,49
1376,3,0
820,1,65
309,9,35
754,9,21
253,14,22
373,29,22
1381,5,29
601,23,151
1173,1,2
1391,1,7
844,36,49
1261,0,2
876,34,40
1189,24,35
782,9,10
1176,3,48
1398,3,5
856,10,46
563,3,138
1364,9,16
537,83,91
1404,6,0
891,13,26
418,0,5
1273,2,0
1411,10,6
315,13,28
1416,2,5
757,36,21
1387,5,27
1383,20,1
1051,4,36
1441,1,8
879,18,12
862,10,26
765,3,25
1050,0,5
314,14,30
977,1,1
1171,23,28
301,67,29
1444,10,16
713,8,4
1374,2,0
1267,25,7
564,2,1
617,8,3
333,8,20
1405,8,5
1483,2,6
240,3,8
851,21,15
1156,0,9
723,5,9
1011,1,64
494,6,18
270,8,7
756,1,17
675,8,8
842,4,2
243,9,11
1423,1,0
1343,1,4
404,6,19
406,7,0
393,9,2
1252,0,5
221,16,28
596,0,2
1002,1,18
1397,17,8
781,11,19
482,7,17
465,4,20
1192,17,29
239,8,14
1537,3,4
1166,3,24
978,2,1
1263,20,8
1321,7,19
1390,3,3
409,5,4
1561,23,1
930,2,3
858,0,3
305,1,17
1276,2,8
1592,8,2
1257,1,5
1396,2,8
339,32,20
939,12,4
923,0,4
809,21,16
819,4,6
1389,0,7
1481,3,2
835,6,19
60,6,3
1417,3,1
614,15,1
760,4,7
763,8,8
1600,0,1
1494,0,1
1010,1,1
709,3,8
1277,1,0
1320,6,4
1322,7,4
623,3,23
1431,3,5
1596,1,1
358,18,21
1283,9,3
918,0,2
1344,1,0
598,0,2
860,2,2
451,10,22
170,0,10
1335,2,3
1633,0,1
385,3,1
740,1,33
