id,male,female
15727896,1489,3132
91376,2732,5307
91374,6716,12028
91388,501,986
15714684,1666,2891
91309,4643,8248
91327,361,827
15719794,1378,2947
15719792,3285,6767
15720372,60,71
15720345,360,352
91625,2146,850
91414,405,752
15752191,724,1403
15752166,1441,2794
91352,1776,3397
91349,6440,10920
15726400,2518,5000
5017501,161,310
7330340,716,1552
15720034,586,1218
15720033,1083,2459
16044416,776,1066
7683845,356,829
12938400,74,162
12333619,309,403
1618979,3281,3915
13858709,56,345
13858702,691,2553
91332,924,1970
13858705,103,519
11030330,5,39
7920819,77,87
10885740,77,443
13858500,892,3187
15775089,32,31
1626816,196,144
12333788,271,248
8495415,141,749
15626128,543,2877
7815035,1396,4430
7815020,2326,8082
15963668,808,3995
12718332,1566,6542
90568,700,817
91104,157,69
14369423,43,21
14369377,63,50
90428,794,809
90475,125,170
13239503,293,2339
13239480,526,3412
90806,534,1154
90802,1074,1832
13041429,689,2139
13041430,520,1224
90590,237,348
278373,609,377
7814997,192,1340
13207991,40,27
14369750,99,89
90635,123,101
90607,891,1177
90409,88,25
819298,54,125
819295,584,1541
90564,1596,1743
91469,37,29
91079,138,42
90560,99,117
90639,1883,1134
90548,245,58
13207999,33,52
12766642,2029,7707
91392,1950,4302
4922657,546,2189
16087732,1904,7842
995923,18,3
15995347,126,137
15995336,400,432
995914,1049,1707
15959385,578,2830
90671,189,664
12808276,357,1079
90714,3245,9333
13106890,30,26
91697,2898,1266
819316,219,604
819016,67,284
819011,247,1029
819409,80,144
819395,136,229
819437,205,394
819318,31,97
819393,53,181
819281,166,276
819280,305,585
819438,152,215
13276918,154,1471
13276827,473,4424
91311,1214,2258
91321,792,981
15720562,2402,4241
15720526,4851,9689
15720051,848,1472
15720046,131,233
15727886,739,1380
91324,566,881
15720032,663,784
15720030,1207,1890
15727888,504,795
91405,2030,3418
91404,2242,4120
13196790,689,967
15979213,1373,2742
90691,400,1661
15726402,1371,1784
13041460,922,2521
13333816,1460,4044
15753372,1316,2563
15753361,2584,5098
15714122,1728,3777
15714117,3792,8343
5037939,1298,978
14739358,1430,1081
90582,453,351
7962984,8,7
8276630,357,303
8264452,1762,2095
8268550,140,218
7847756,169,368
7847755,46,160
13475138,22,65
90541,443,1542
7812103,426,2302
7812052,582,2796
15625452,115,460
15625409,503,1334
91008,216,894
278352,620,3325
14304975,247,146
14369654,365,194
10616664,587,332
278340,308,312
16044387,509,863
90589,660,626
7812099,101,493
14995788,183,1910
7812199,673,3212
13482954,69,341
15797243,325,1343
15797242,3692,13679
7811902,707,3237
90675,908,1750
91807,33,34
91801,277,273
1003105,340,718
14426253,230,262
90408,14,2
14949716,206,867
10770551,498,1959
7812067,67,512
90584,471,485
819123,81,180
819122,322,822
15011042,807,6025
4827843,8,9
91210,549,1277
90857,440,1462
91209,33,57
987260,1574,5165
15797254,2692,10079
91203,216,373
13357269,124,416
13314794,441,2888
7719197,123,85
12333608,1287,1161
12501719,231,482
12501694,661,1412
91522,130,130
91518,966,553
8495423,177,660
763583,201,150
989024,460,1909
7811935,173,725
7811900,18,185
13041314,340,562
13041230,702,1310
14996686,107,1216
7959202,72,362
7812851,20,124
7848519,31,112
15626400,31,201
15626375,161,813
10770560,78,219
10682481,1477,5459
13445417,35,131
10682532,133,448
90924,420,2308
10790730,171,645
13462703,323,1084
90942,251,881
90925,229,662
7070735,309,723
13088574,531,1055
13488571,105,466
10682592,1048,2218
10852916,3572,7429
90938,482,932
90931,1281,2931
14193156,62,9
8278683,450,350
8480738,333,1260
5151017,105,334
10682670,101,334
10683255,50,180
13491298,214,651
13491296,985,2637
13858511,285,1076
90752,43,249
13061828,87,414
13858308,53,112
7811975,79,620
9331719,93,640
13887834,133,127
15083319,229,383
15984092,137,76
15984085,373,307
13626115,286,432
13625984,883,2942
90432,9,23
14369611,68,49
10470551,281,1251
13520477,147,667
15626131,128,613
8260833,134,598
90797,168,655
15525129,39,153
13626299,459,2766
91076,140,147
7815038,247,959
10790731,254,772
15797252,320,882
7815034,181,786
7813036,101,236
8268516,305,293
6196807,91,125
469108,79,105
10604386,2015,1093
13491603,321,288
10682608,112,54
90921,2,114
7812078,651,2198
7812053,39,236
12638069,104,313
13771570,60,75
13771160,433,714
7920674,220,1848
13858259,348,1318
13858202,448,1769
16088924,112,284
16088934,286,857
16088928,46,141
91710,18,86
13021782,320,419
12333652,1653,1751
6077297,145,683
9335976,32,14
278374,600,885
12330608,1091,1545
14808441,33,11
12333818,434,130
90715,82,259
14695400,271,313
1210061,164,85
121006,175,94
12100,211,181
13876406,13,18
13946516,104,187
90497,197,310
91032,1305,709
7683675,160,229
91201,284,920
90859,155,219
15561866,604,1574
13239477,381,3528
4852773,470,3207
5013720,317,1803
12805274,853,3506
13334231,1056,3352
90518,445,1616
7811933,169,1149
8475955,302,2332
13239041,135,480
8476539,213,1616
7811923,27,401
7812586,25,373
7811909,737,3836
6138133,40,78
91736,42,113
91735,389,729
7811961,336,1197
7811894,647,3452
13771546,13,18
14912804,1,4
14912067,19,45
14910177,87,82
10614955,445,909
10682570,139,407
8480752,329,2639
13314841,102,669
7812095,65,313
14879737,209,1046
15686653,448,2430
7812119,235,1417
90793,73,115
13491301,232,513
15626098,374,1750
13041507,297,884
13041431,684,1775
14994695,316,1323
91176,1696,8317
7812102,117,518
7812097,234,1181
91499,155,86
15632704,554,434
13858514,133,632
14996659,155,1488
6856242,344,137
12327183,552,184
90435,1386,575
15094330,70,25
91662,396,101
91649,1935,614
14825481,27,7
91665,536,328
90626,1454,935
90625,3902,2305
8510396,166,1733
13041511,81,259
15085330,337,649
14230080,458,687
90689,310,978
13491643,446,1792
16011677,1307,2195
15553892,367,222
766160,642,366
6498837,22,12
1001393,225,1443
8476110,356,2423
16042844,76,360
2724669,1086,814
10382050,55,39
13041512,160,380
15696738,160,432
13277108,71,376
6516122,71,62
90575,393,213
13626477,45,165
8268549,214,433
819028,116,275
15719828,43,138
16011704,673,1743
15557928,544,1106
14698852,79,216
15720388,1466,3648
16099944,537,1331
15719818,48,155
15719796,1864,3682
13873140,20,21
15727468,721,1210
91375,1086,1974
13488366,58,239
13491304,223,723
91410,287,559
14993459,74,391
15720050,392,739
91430,498,1352
15720039,342,906
90787,266,1084
989034,91,360
15002303,2055,4639
13794087,48,162
15720158,331,1152
15356404,200,590
91344,154,279
15714106,226,395
15697685,171,276
15697648,586,841
10683225,33,119
10682555,80,311
14246028,166,285
91387,320,659
6368402,197,604
91397,215,449
13480658,212,431
15719820,58,148
15719799,258,632
15720037,155,335
91342,618,1331
241435,47,120
90571,124,264
13185111,510,2282
91291,710,2586
90608,334,1263
14137194,385,416
91464,62,88
237418,699,647
7718435,32,26
