id,male,female
827,60,82
1068,41,231
448,0,12
1236,35,27
1327,10,70
763,14,9
883,35,118
994,21,19
599,97,15
1016,7,19
1363,1,8
345,271,2005
649,74,101
1018,18,21
627,32,46
802,181,99
717,3,57
1249,3,14
761,39,63
752,134,55
1348,4,6
995,51,197
1188,3,14
1370,14,22
932,9,71
1371,7,14
632,26,58
1158,28,119
256,42,17
399,18,369
1375,4,2
1376,2,0
287,4,96
75,53,39
940,17,6
1224,7,103
1306,20,25
1185,7,13
1267,54,8
1004,25,25
1268,23,58
1382,6,16
968,16,8
1064,20,99
1384,5,1
707,7,9
314,31,31
1385,3,0
128,213,120
415,19,16
1261,0,3
145,62,46
1392,5,1
1393,0,2
1189,5,17
681,9,6
1252,22,161
782,33,52
239,17,23
829,53,66
483,36,90
624,19,39
1364,8,5
721,28,55
808,6,7
1274,1,5
891,48,64
1239,27,11
841,61,100
878,1,1
861,2,51
418,0,3
1281,3,30
799,0,1
1415,1,8
1157,16,29
1409,31,14
1413,4,13
383,52,14
1433,18,7
428,18,23
1436,3,6
1387,11,28
1292,8,6
1438,0,4
713,36,5
1291,25,46
444,13,28
1429,1,5
1440,6,7
970,19,73
1050,3,7
127,60,159
1333,7,13
1280,19,54
494,16,77
1167,34,3
301,71,34
1472,20,0
1473,20,0
231,13,4
310,29,62
431,32,62
617,3,3
395,1,3
321,6,23
496,13,43
253,5,18
240,15,20
335,22,30
14,9,58
768,14,50
1277,8,5
290,8,129
851,31,29
1319,26,21
1489,0,1
270,17,7
1312,10,9
996,6,5
1494,1,4
1338,0,20
251,18,74
404,13,31
1500,1,1
378,7,4
1437,36,17
299,5,33
1290,3,21
781,26,59
705,15,4
1254,2,10
1534,0,7
1259,4,56
1535,3,3
1179,8,10
977,6,33
1272,23,10
1367,6,27
1563,1,0
1566,0,1
1184,12,34
1570,3,1
847,8,17
1381,3,16
446,4,30
575,6,1
998,2,50
1285,0,10
409,12,18
1486,0,6
1063,22,12
930,0,1
189,29,22
304,9,12
305,14,26
129,23,21
1320,5,4
1257,17,33
848,48,18
563,2,7
675,4,2
1477,20,21
1396,24,24
1403,14,3
816,6,11
339,30,19
1390,1,8
1410,5,6
976,21,12
315,12,16
1349,2,0
1481,1,2
1471,8,4
686,7,3
1352,0,3
396,12,21
835,4,18
1289,0,1
1597,2,0
1590,1,20
743,10,23
484,8,14
300,4,52
1237,11,1
780,2,1
1600,0,1
1311,2,4
1183,11,12
1240,12,5
1362,0,10
170,20,31
1000,20,19
482,6,12
1606,0,1
1322,2,0
252,30,11
746,25,11
754,1,2
1616,1,2
773,4,7
1536,0,1
1051,1,12
1247,12,13
1618,1,1
1620,0,1
910,9,10
1342,5,27
1162,25,21
1245,8,14
806,0,6
1613,5,0
744,9,3
142,24,15
1270,5,9
1304,0,4
1305,0,1
1361,14,1
1628,0,1
1485,3,6
451,8,12
1478,3,6
272,6,21
1343,3,13
1335,2,7
765,5,30
718,0,6
1624,0,1
1395,17,0
1637,0,4
1269,9,5
1017,13,25
1425,2,0
1639,7,0
1480,3,5
1283,19,7
1055,7,7
1355,2,0
1156,3,1
1442,1,1
937,19,31
1052,3,6
614,5,3
1351,10,2
798,0,3
1591,2,1
1496,10,3
388,2,23
1465,28,17
1648,11,0
1428,2,7
1276,2,6
1406,3,3
358,1,8
1010,0,1
1641,2,1
1610,0,20
1501,6,2
1368,1,7
715,33,39
767,4,4
1250,0,3
1373,0,6
1560,2,1
554,1,6
1336,3,12
1402,0,1
738,1,10
1615,5,0
476,1,11
1011,0,19
1479,2,3
362,2,2
1608,1,2
1505,1,1
1482,3,4
1587,4,4
1282,0,6
161,22,16
1602,20,10
1251,20,10
1603,4,2
1515,23,10
1386,20,10
819,20,10
1604,20,10
1601,20,10
1049,4,12
1504,1,0
671,0,1
285,5,5
393,5,0
1583,3,3
1468,1,1
1191,1,10
842,17,8
1507,4,0
1419,20,0
1372,20,1
1516,20,0
1676,1,0
1677,1,1
1174,4,10
1422,2,4
1671,1,1
1317,19,1
1344,1,1
249,0,11
392,5,4
1686,1,0
762,0,6
1487,0,10
1672,0,1
969,1,5
1499,0,7
1694,2,0
1278,9,4
864,4,3
1493,1,2
1330,1,4
1594,2,2
413,1,3
1629,0,2
1682,4,0
1475,0,6
1565,0,1
1701,0,3
242,1,1
1173,2,1
1235,2,2
1295,2,9
1655,4,0
1470,4,2
1711,1,0
1712,0,1
1353,2,5
1675,0,1
1056,0,5
1537,1,7
1716,0,1
1670,1,5
1668,0,4
1490,2,1
1595,0,5
1564,1,2
1263,10,2
1491,2,4
1359,2,5
1573,2,3
1383,3,0
669,1,1
1652,2,4
1696,0,1
756,0,10
453,0,1
449,0,1
849,0,1
1299,0,10
1357,0,11
1495,0,1
783,0,11
467,0,10
1242,0,11
1166,0,1
1647,1,2
1718,6,0
1334,1,0
68,1,0
1397,1,0
1599,2,0
1667,2,0
1007,1,5
465,1,1
1684,0,1
1394,0,6
1735,0,1
1683,1,2
1360,2,0
1294,2,0
1704,0,1
1673,0,1
1366,1,0
1785,0,2
1412,0,2
1307,0,3
1253,0,1
1434,1,1
1238,1,1
1248,1,1
1787,0,1
1788,10,0
1567,0,2
1190,1,0
1584,5,1
1533,0,2
1791,0,2
1502,1,1
804,1,1
1627,0,1
329,1,0
1053,0,21
1642,0,1
1793,2,0
1702,2,1
1435,0,3
1492,0,1
1723,0,1
598,1,1
1517,0,2
742,1,0
385,1,0
1474,0,1
1713,0,1
1804,3,0
703,0,1
1661,0,2
1611,0,10
1816,0,10
